																																																												
																																																												
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Aruba	ABW	Real interest rate (%)	FR.INR.RINR																																				12.78231464	13.89328874	5.934309957	3.318126505	14.30669366	2.678992204	7.00013721	12.39020806	15.12711997	2.409749744	7.023680482	9.689643002	-1.293013965	-2.662309609	16.75879282							
Afghanistan	AFG	Real interest rate (%)	FR.INR.RINR																																															10.07615212	-8.588371377	12.46673371	17.47530159	5.713021941	4.146750003	6.181851186	9.89484317	14.72113522	10.77168001	
Angola	AGO	Real interest rate (%)	FR.INR.RINR																																				-84.65161616	-94.21993629	-29.11161789	7.155928158	-72.55504755	-60.79751921	-5.019293568	-33.46214609	6.073114851	30.43176011	32.25268069	5.723350397	4.512979403	-5.972479343	24.95201262	0.122277226	-4.356950215	8.953173689	12.97882331	17.99851177	21.77432582	
Albania	ALB	Real interest rate (%)	FR.INR.RINR																																	-65.51642989	-39.68257376	-10.65612025	13.3335716	-12.2577868			19.77840091	17.42737787	15.79937782	12.59008172	8.437210266	9.187871776	10.18697983	9.97496367	10.16008361	8.821670672	9.996131232	7.974303696	9.893341452	9.73910309	9.58674432	7.134799177	8.552777018	
Andorra	AND	Real interest rate (%)	FR.INR.RINR																																																									
Arab World	ARB	Real interest rate (%)	FR.INR.RINR																																																									
United Arab Emirates	ARE	Real interest rate (%)	FR.INR.RINR																																																									
Argentina	ARG	Real interest rate (%)	FR.INR.RINR																																			7.010085793	14.23111105	10.56874426	9.751652327	12.55436668	13.11746836	9.945071678	29.12028482	16.17980386	7.828852459	-9.789157789	-3.765738992	-4.496297249	-3.382542382	-3.006390864	0.24038505	-8.566028717	-7.773405238	-6.748195562	-5.485839177	-11.60069877	0.297463365	
Armenia	ARM	Real interest rate (%)	FR.INR.RINR																																				-18.87949071	39.10516828	30.99434939	34.1346116	38.77366744	33.39846306	21.73397423	18.33274692	15.5583255	11.59233052	14.28173191	11.37952805	12.74351141	10.43491465	15.80345155	10.60763579	12.91975789	11.28119329	12.21684305	13.78124866	16.2208686	
American Samoa	ASM	Real interest rate (%)	FR.INR.RINR																																																									
Antigua and Barbuda	ATG	Real interest rate (%)	FR.INR.RINR																			-0.022861224	-5.396518214	0.10822006	2.169544698	2.121462361	7.249632585	10.20032547	5.044656609	5.64349177	4.699080719	-0.875756575	8.0940068	10.17401241	9.67324806	10.06889653	10.2243849	9.829003455	9.278815939	9.44106692	9.599112204	9.548332452	10.99571902	-2.013231268	9.465508375	10.53607909	14.16397649	10.22526353	6.43849844	10.46498712	6.473804431	5.742720291	8.128682403	9.503527062	9.467111191	7.282874356	10.10942123	13.21558026	10.89102748	
Australia	AUS	Real interest rate (%)	FR.INR.RINR		2.212054682	5.587967735	3.273646479	1.724419502	2.261545505	2.622909805	0.477051696	3.266440207	1.063913222	1.682770685	1.972264915	0.788890679	-1.516179816	-6.038699144	-5.322034742	-3.587855843	-1.381796461	1.06005339	0.452905612	-0.030738443	2.111358668	1.40567788	2.052760115	3.364203324	7.4509229	8.089821756	7.486015727	6.39890874	6.58566091	9.641002895	10.06348921	8.895049094	8.462998704	7.984080256	8.083130986	6.85900814	5.870218123	5.341555372	6.207870948	5.02836016	2.032268142	3.402142589	3.390775099	3.646812837	3.421129916	2.422997584	3.065919527	4.180804651	1.043272004	6.208688426	1.460311026	4.81999084	6.391280371	4.473145552	6.267676605	
Austria	AUT	Real interest rate (%)	FR.INR.RINR																																							5.978067009	5.34755187																	
Azerbaijan	AZE	Real interest rate (%)	FR.INR.RINR																																								16.95590768	6.367009609	16.7690792	13.82041146	8.91253295	6.836367684	0.765383346	5.895645341	-1.529881842	-6.261217036	48.05571638	6.103777606	-2.919040231	16.66429915	17.01519679	17.62682001	28.93995903	
Burundi	BDI	Real interest rate (%)	FR.INR.RINR																			-0.451262624	-11.20322551	-3.766860947	19.22924479	5.98831967	5.234921701	-4.450063398	6.596780826	16.98033754	15.96339107	8.221738112	-2.402625011	5.997142472	8.348477602	7.833429511	5.591120355	7.090833433	-0.727268461				0.245048218	-16.67919754	2.732903689	18.25203631	5.614402303	4.514521181	-0.34657925	13.83378319	9.299610523	-6.024722239	5.384409216	0.103918608	-0.929038495	-0.950038464	1.753323345	6.800276704	8.917440929	
Belgium	BEL	Real interest rate (%)	FR.INR.RINR																						12.23216774	7.371527857	7.704697533	8.119676327	7.563886434	7.432839361	7.522534783	6.604427141	5.998118363	9.908918003	9.71880205	9.258418614	7.519016367	7.17215484	7.109111341	6.693345028	6.10774742	5.394447307	6.104983442	5.837658647	6.226163152	5.928511271	4.829588802	4.627954364	4.489137879	5.0577125	6.381016486	7.118026909	8.619115087							
Benin	BEN	Real interest rate (%)	FR.INR.RINR																																														5.432915954	6.022363484	11.18582574	5.041107041	8.269625503	10.42998169	4.989809114	0.76225195	6.798286464	8.157539615	7.839088298	
Burkina Faso	BFA	Real interest rate (%)	FR.INR.RINR																																														6.44943361	9.775910473	7.122154872	0.437931323	7.328990897	5.213329037	2.431059156	3.47369268	10.33731926	9.215428712	8.400683928	
Bangladesh	BGD	Real interest rate (%)	FR.INR.RINR																	34.75848614	14.68145348	-11.63749027	-1.389875055	-5.292612144	1.915751964	1.951819834	3.2374567	3.823325143	-5.481336223	5.307493133	4.391995168	7.911157376	7.072337169	8.886718887	12.83675143	12.10526067	14.82143181	10.13192945	6.397932912	-4.31683264	9.826343913	7.82564811	8.978643048	8.998203237	9.256955719	8.389699358	5.88445428	5.582355611	5.764269121	5.466957503	5.789147851	4.661742572	6.146538327	4.736137546	5.064202379	5.343309217	5.988684319	6.885900232	5.512644779	
Bulgaria	BGR	Real interest rate (%)	FR.INR.RINR																																-53.28540668	9.068475502	17.05248512	17.26117487	10.46015633	93.93744949	-70.43220346	-13.67696092	11.26303846	3.866188382	4.712514728	5.221540775	6.13430567	3.066333409	2.025797736	2.014699779	-0.961889499	2.501279923	7.004384233	8.338330197	4.388562127	8.033930688	9.822053176	7.78944589	5.141708881	
