DATE,GDPPOT
1949-01-01,2011.3
1949-04-01,2038.1
1949-07-01,2065.2
1949-10-01,2092.6
1950-01-01,2120.1
1950-04-01,2147.2
1950-07-01,2174.7
1950-10-01,2202.5
1951-01-01,2230.8
1951-04-01,2260.7
1951-07-01,2291.4
1951-10-01,2322.8
1952-01-01,2355.2
1952-04-01,2389.0
1952-07-01,2422.3
1952-10-01,2454.5
1953-01-01,2484.1
1953-04-01,2510.1
1953-07-01,2534.0
1953-10-01,2555.7
1954-01-01,2574.2
1954-04-01,2591.1
1954-07-01,2606.8
1954-10-01,2622.1
1955-01-01,2638.5
1955-04-01,2654.9
1955-07-01,2671.4
1955-10-01,2688.2
1956-01-01,2705.5
1956-04-01,2723.0
1956-07-01,2741.2
1956-10-01,2760.3
1957-01-01,2780.8
1957-04-01,2803.1
1957-07-01,2826.5
1957-10-01,2850.9
1958-01-01,2876.6
1958-04-01,2902.5
1958-07-01,2928.8
1958-10-01,2955.7
1959-01-01,2982.2
1959-04-01,3009.4
1959-07-01,3037.3
1959-10-01,3065.9
1960-01-01,3095.6
1960-04-01,3126.2
1960-07-01,3157.4
1960-10-01,3188.8
1961-01-01,3220.3
1961-04-01,3251.1
1961-07-01,3282.4
1961-10-01,3314.2
1962-01-01,3346.7
1962-04-01,3381.2
1962-07-01,3416.7
1962-10-01,3453.3
1963-01-01,3491.7
1963-04-01,3530.5
1963-07-01,3569.8
1963-10-01,3609.5
1964-01-01,3648.5
1964-04-01,3688.0
1964-07-01,3727.9
1964-10-01,3768.2
1965-01-01,3809.3
1965-04-01,3850.3
1965-07-01,3891.9
1965-10-01,3934.2
1966-01-01,3977.2
1966-04-01,4021.8
1966-07-01,4067.6
1966-10-01,4114.3
1967-01-01,4162.5
1967-04-01,4211.5
1967-07-01,4261.0
1967-10-01,4310.8
1968-01-01,4360.1
1968-04-01,4410.6
1968-07-01,4460.8
1968-10-01,4510.4
1969-01-01,4559.0
1969-04-01,4605.7
1969-07-01,4650.7
1969-10-01,4693.8
1970-01-01,4733.8
1970-04-01,4771.1
1970-07-01,4807.1
1970-10-01,4842.4
1971-01-01,4877.9
1971-04-01,4914.1
1971-07-01,4950.6
1971-10-01,4987.3
1972-01-01,5025.4
1972-04-01,5062.6
1972-07-01,5100.3
1972-10-01,5138.8
1973-01-01,5177.6
1973-04-01,5218.7
1973-07-01,5261.2
1973-10-01,5305.4
1974-01-01,5352.5
1974-04-01,5401.8
1974-07-01,5452.0
1974-10-01,5502.3
1975-01-01,5551.3
1975-04-01,5598.8
1975-07-01,5645.5
1975-10-01,5691.5
1976-01-01,5736.1
1976-04-01,5780.4
1976-07-01,5824.7
1976-10-01,5869.5
1977-01-01,5916.1
1977-04-01,5963.6
1977-07-01,6012.1
1977-10-01,6061.7
1978-01-01,6112.6
1978-04-01,6166.4
1978-07-01,6220.6
1978-10-01,6274.7
1979-01-01,6328.1
1979-04-01,6379.5
1979-07-01,6429.0
1979-10-01,6475.7
1980-01-01,6517.6
1980-04-01,6553.2
1980-07-01,6587.1
1980-10-01,6620.9
1981-01-01,6656.3
1981-04-01,6696.9
1981-07-01,6740.4
1981-10-01,6787.0
1982-01-01,6840.4
1982-04-01,6895.3
1982-07-01,6952.0
1982-10-01,7009.7
1983-01-01,7065.3
1983-04-01,7121.5
1983-07-01,7178.8
1983-10-01,7237.8
1984-01-01,7299.8
1984-04-01,7364.7
1984-07-01,7431.5
1984-10-01,7499.9
1985-01-01,7569.9
1985-04-01,7641.0
1985-07-01,7712.8
1985-10-01,7785.0
